Subbasin,Area_acre,inter_acre,WLD,CC,MN,ASC_obs,County,State
154,14021,12909,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
155,20508,1.07119,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
155,20508,20506.5,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
156,21375,21375.2,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
157,27520,27520.5,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
158,17526,17525.8,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
159,23635,8697.82,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
159,23635,14936.8,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
160,35017,19601.2,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
160,35017,15415.9,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
161,23686,23686.3,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
162,20226,20225.6,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
163,32106,213.738,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
163,32106,20249.3,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
163,32106,11643.1,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
164,10265,6556.91,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
164,10265,3708.47,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
165,15404,1519.25,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
165,15404,82.5005,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
165,15404,13802.4,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
166,15866,13481.3,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
166,15866,2384.97,230.169958,45.42902496,60.46463069,10.45861018,Kandiyohi,Minnesota
167,22174,22173.7,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
168,14917,14916.5,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
169,28033,21876.6,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
169,28033,6155.95,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
170,17354,875.183,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
170,17354,16478.4,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
170,17354,0.0792195,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
171,12417,904.927,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
171,12417,921.068,224.3774624,39.61909289,54.63007856,4.677307475,Redwood,Minnesota
