,id,mean_wld,mean_cc,mean_nm,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,countyresident,countyland,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean,concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster,County,Region_y
43,6949399112,565.3593272,164.3311052,269.37357510000004,1.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,Swift,Swift,4.2,43738.0,14.02,404.0,150.0,174.0,5396.0,150.7,1837.0,0.0,19.0,196.0,765.0,417.0,698.0,428.0,0.5994114229999999,0.5770359970000001,0.85892395,-0.4140099270000001,0.269790821,0.109762965,-0.075514325,-0.281115238,0.201524372,-0.161263888,-0.002802618,1,Swift,Westcentral
44,6949394536,565.3593272,164.3311052,269.37357510000004,2.0,4.0,4.0,2.0,2.0,1.0,2.0,9.0,Freeborn,Freeborn,3.8,45515.0,14.59,448.0,216.0,217.0,6071.0,0.0,2003.0,0.0,1.0,228.0,753.0,417.0,698.0,424.0,0.5851084010000001,0.557988585,-0.017043673999999998,-0.278704816,0.329032842,-0.275004042,-0.544370521,-0.310469101,-0.7258737829999999,-0.239764332,-0.183948869,0,Freeborn,Southcentral
45,6949392066,565.3593272,164.3311052,269.37357510000004,1.0,4.0,1.0,5.0,5.0,2.0,1.0,7.0,Le Sueur,Blue Earth,4.8,50857.0,16.3,579.0,215.0,222.0,6745.0,95.5,5867.0,0.0,23.0,256.0,743.0,417.0,764.0,440.0,0.5040713029999999,0.456636592,0.784567577,-0.259672105,0.280878808,-0.097219032,-0.040110609,-0.282944019,0.192525188,-0.210474493,-0.085300979,1,Le Sueur,Southcentral
46,6949389471,565.3593272,164.3311052,269.37357510000004,1.0,3.0,2.0,5.0,4.0,3.0,1.0,1.0,Waseca,Waseca,4.0,46304.0,14.84,468.0,224.0,216.0,6922.0,95.0,284.0,0.0,10.0,225.0,762.0,417.0,698.0,427.0,0.510246648,0.48386545,-0.046227748,0.578128942,2.076854222,-0.427879109,0.081015919,-0.280592232,0.15480840699999998,-0.204586452,0.100531943,1,Waseca,Southcentral
47,6949385903,565.3593272,164.3311052,269.37357510000004,2.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,Freeborn,Freeborn,3.8,45515.0,14.59,448.0,216.0,217.0,6071.0,0.0,2003.0,0.0,1.0,228.0,753.0,417.0,698.0,424.0,0.5851084010000001,0.557988585,0.462855461,-0.710273174,0.271871887,0.161554172,-0.268781853,-0.186627489,0.19258058,-0.203296809,-0.002209873,0,Freeborn,Southcentral
48,6948985749,53.81222402,-350.4631334,-257.447558,1.0,3.0,1.0,6.0,5.0,2.0,1.0,1.0,Lac Qui Parle,Lac Qui Parle,3.6,44917.0,14.4,433.0,167.0,170.0,4453.0,341.6,4.0,0.0,36.0,215.0,787.0,417.0,698.0,434.0,0.588319113,0.5632020529999999,-0.888079009,-0.240618984,0.294140539,-0.082971413,-0.263928555,-0.308022301,0.15512206,-0.211934471,-0.068463799,1,,
49,6948796897,53.81222402,-350.4631334,-257.447558,,,,,1.0,2.0,2.0,4.0,Douglas,Pope,3.3,46153.0,14.79,459.0,141.0,129.0,3410.0,4.4,10017.0,11.03,16.0,220.0,748.0,417.0,764.0,442.0,0.4775127870000001,0.458586311,-0.073528944,-0.153268553,0.29383237,0.031316092000000004,-0.239909908,-0.307988227,-0.72234009,-0.090989068,-0.18179655100000006,0,Douglas,Westcentral
50,6948796210,53.81222402,-350.4631334,-257.447558,1.0,4.0,2.0,5.0,4.0,2.0,1.0,1.0,Traverse,Traverse,3.7,44212.0,14.17,415.0,150.0,170.0,5078.0,0.0,0.0,0.0,0.0,224.0,777.0,417.0,698.0,431.0,0.592261355,0.572932135,1.080143022,0.237094835,0.310040334,0.411559568,0.197614618,0.011062217,-0.152131603,-0.103808897,-0.068691633,0,Traverse,Westcentral
51,6948795512,53.81222402,-350.4631334,-257.447558,1.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,Stevens,Stevens,2.8,41053.0,13.16,336.0,150.0,164.0,5718.0,21.5,1911.0,77.27,10.0,184.0,751.0,417.0,698.0,424.0,0.5561905970000001,0.538722106,1.431406761,-0.164349671,-0.611271181,0.5268156279999999,0.428566346,0.050694357,0.245217998,0.116855952,0.219226577,2,Stevens,Westcentral
52,6948794673,53.81222402,-350.4631334,-257.447558,1.0,3.0,3.0,7.0,5.0,2.0,1.0,1.0,Hennepin,Hennepin,3.1,64137.0,20.56,860.0,131.0,131.0,18090.0,31.3,1071.0,0.0,22.0,707.0,784.0,486.0,1113.0,555.0,0.666003954,0.627656542,-1.296038472,1.15009154,0.311927137,-0.070007101,0.109099487,-0.305771019,0.154731375,-0.205455731,0.106405911,1,Hennepin,Southcentral
